date,top_score_stocks,top_q_recent_5d_ret,bot_q_recent_5d_ret,fwd_idx_min,fwd_idx_cum,transmitter_drop_signal,no_signal,idx_drop_signal
2021-04-13,"1519,2449,3231,2317,2609",0.002428047881081268,-0.004111967028262635,-0.007884335104825457,0.011452941022209284,False,False,False
2021-04-20,"1519,3231,2308,2317,2449",0.0010581588267296036,-0.007490564424289641,-0.027233564760638606,0.02508119421239785,False,False,False
2021-04-27,"1519,2449,3231,2308,2382",0.002336472876261619,-0.004091998660243679,-0.03150375817748348,-0.04209138123594547,False,False,False
2021-05-05,"1519,2609,2449,2308,3231",0.001076362759023243,-0.014217580886676526,-0.05517606041890087,-0.04564048887464578,False,False,False
2021-05-12,"2609,2449,2603,2308,2345",0.0011064159455143844,-0.011154912236619834,-0.10406411655326626,0.004331958861151675,False,False,False
2021-05-19,"3450,3231,2382,2603,0050",-0.002056839894017108,-0.006346443040557956,-0.009909684186258835,0.05923824759007834,False,False,False
2021-05-26,"2603,3231,2382,2609,3450",0.014632683010717948,0.011567548093243054,1.4610315054652823e-05,0.03798328362563774,False,True,True
2021-06-02,"2609,2603,3231,2382,0050",0.011159355893148811,0.01010165830222769,-0.010576474849169567,-0.00477949230412944,False,True,True
2021-06-09,"3231,2609,2382,2603,0050",-0.0006965938560503107,-0.0034751874095317915,-0.007497550410779556,0.03924655383845277,False,False,True
2021-06-17,"2382,3231,2609,2603,2330",0.010381214786089582,0.006381211407751791,-0.005824521182927708,0.02012191520188855,False,True,True
2021-06-24,"2609,3231,2603,2382,2330",0.002868939348532207,0.004981833741794502,0.003266550782116103,0.033952603642954715,False,False,False
2021-07-01,"2609,3231,2382,2330,2449",0.020374306725385028,0.005604433142038051,-0.00830682177410813,0.018234615906767004,False,True,False
2021-07-08,"3661,3231,2345,2408,2382",0.002889198604069129,0.006391692564701487,-0.011928507905192114,0.007204116123799009,False,False,True
2021-07-15,"3661,2408,3231,2345,2382",0.0031583970220517626,-0.002283932094266402,-0.023370115947846937,-0.02512676055867258,False,False,False
2021-07-22,"2408,3706,3661,3231,2382",-0.0040577866568318735,-0.0012399481635535818,-0.023124078735608167,-0.03419734564181376,False,False,False
2021-07-29,"3661,1519,2345,2449,3231",-0.00320827986627875,-0.015344259593284388,-0.01191220309733131,0.030316421021284068,False,False,False
2021-08-05,"2382,2330,3231,2327,2308",-0.0005808009475671266,0.01549529836922563,-0.01475512989924527,-0.04676525543391841,False,False,False
2021-08-12,"2308,2368,6669,3443,2449",-0.005835755813080994,-0.012607426318799447,-0.03071188398201816,-0.020922238245065783,True,False,True
2021-08-19,"6669,2449,2368,3037,3706",-0.006770231441777616,-0.009929567133386517,-0.029885661535072054,0.03418480378380817,True,False,True
2021-08-26,"6669,3037,2368,1815,3017",0.010141880376092743,0.009667244795946286,-0.008357287275008089,0.016795662427400826,False,True,True
2021-09-02,"6669,2344,1815,3706,2368",4.187023996176718e-05,0.00792650598017933,-0.09721889095109751,-0.04985075741946221,False,False,True
2021-09-09,"3017,2344,2408,2454,2327",-0.0024830540978184414,-0.011798979897123918,-0.009626257879070062,0.010822989054112275,False,False,True
2021-09-16,"3017,2408,2308,2344,2454",-7.86539777563322e-05,0.0036846431162736995,-0.014870437840539815,0.025006146684626973,False,False,True
